,datetime,latitude,longitude,city,state,duration,shape,comments
69135,2012-07-04 19:30:00,41.2586111,-95.9375,omaha,ne,120,fireball,First time seeing a UFO in the Daytime&#33
69136,2012-07-04 19:45:00,20.8783333,-156.6825,lahaina,hi,60,fireball,Orange orb over Lahaina on July 4th
69137,2012-07-04 20:15:00,36.175,-115.1363889,las vegas,nv,45,circle,Tight formation of 2-3 disk shaped objects flying slowly S/W over residential area.
69138,2012-07-04 20:30:00,40.9113889,-73.7827778,new rochelle,ny,300,disk,Noticed 1 extremely bright solid light moving low in the sky from the west heading out east with a huge reddish orange solid bright lig
69139,2012-07-04 20:30:00,46.7630556,-68.4763889,portage,me,600,oval,Strange orbs and lights.
69140,2012-07-04 20:40:00,33.9938889,-96.3705556,durant,ok,2,sphere,Videotaped 20+ silent orange orbs traveling solo &amp; in groups; not airplanes or fireworks
69141,2012-07-04 20:40:00,28.1486111,-80.5886111,indian harbour beach,fl,120,light,Red light seen during fireworks traveling from south to north&#44 then disappears.
69142,2012-07-04 20:45:00,34.09,-117.8894444,west covina,ca,1200,fireball,3 red fireballs over Los Angeles during 4 th of July festivities observing us.
69143,2012-07-04 21:00:00,42.0883333,-87.9805556,arlington heights,il,300,sphere,7 circular orbs viewed traveling near fireworks displays in northwest Chicago area.
69144,2012-07-04 21:00:00,33.9294444,-116.9763889,beaumont,ca,30,light,Luminous orb signaled at me from God.
69146,2012-07-04 21:00:00,36.0525,-95.7905556,broken arrow,ok,900,fireball,All gave the appearance of being on fire giving off a bright orange light the also appeared to be under power and being under control
69147,2012-07-04 21:00:00,35.47,-95.5227778,checotah,ok,7200,oval,Red glowing objects seen over Checotah ok on the 4th of July 2012&#33
69149,2012-07-04 21:00:00,29.3011111,-94.7975,galveston,tx,300,triangle,Traingular set of 3 lights in the sky where no star formation of that nature theprevious nights.
69150,2012-07-04 21:00:00,42.0427778,-88.0797222,hoffman estates,il,3600,light,Red&#44 green&#44 orange flashing small lights - no craft abservable - over an hour in the sky above us.
